chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
11	43885000	43890000	11	44040000	44045000	0,0,0	3.6881971	0.9849408	2.3132432	1.2632195	1.8126695	3.073343	0.47336313	4.1962047
11	76735000	76740000	11	76795000	76800000	0,0,0	2.6144001	0.96563303	1.8799213	0.6796112	1.1399399	2.7669096	0.287463	3.3710084
11	68630000	68635000	11	69085000	69090000	0,0,0	4.364477	0.99844074	2.6217308	2.4653137	2.800422	4.2728086	0.9630289	6.4641986
11	8330000	8335000	11	8565000	8570000	0,0,0	2.2594745	0.9602946	1.4437973	0.98317134	1.3284354	2.3526733	0.49912974	3.226603
11	106310000	106315000	11	107670000	107675000	0,0,0	3.1520598	0.98863363	1.4208001	2.488338	2.5984693	2.2657073	0.8931408	4.477563
11	2195000	2200000	11	2420000	2425000	0,0,0	4.4082036	0.9977272	2.8649552	1.7621225	2.448793	4.521059	0.79789925	6.08739
11	44625000	44630000	11	44910000	44915000	0,0,0	4.6603475	0.9984519	3.3252537	1.0584873	2.3675137	5.530527	0.6694712	6.471404
11	117425000	117430000	11	118050000	118055000	0,0,0	2.9422839	0.95316964	1.8456112	1.1793799	1.1933156	2.0132039	0.5098741	3.0615416
11	450000	455000	11	500000	505000	0,0,0	1.9412067	0.9564158	1.4326019	0.74028873	0.91260684	2.475351	0.3916575	3.1333854
11	130435000	130440000	11	130670000	130675000	0,0,0	2.349014	0.9388975	1.5445606	0.85792685	1.0669059	2.0328908	0.38690028	2.7954924
11	19070000	19075000	11	19270000	19275000	0,0,0	2.3786087	0.933301	1.9470013	0.45021352	0.5426255	2.3076556	0.35648456	2.7078454
11	123640000	123645000	11	123705000	123710000	0,0,0	2.4694889	0.9238381	1.7958677	0.60145026	0.79684657	2.0405385	0.23604761	2.575161
11	14640000	14645000	11	14895000	14900000	0,0,0	2.3447917	0.9561131	1.6833776	0.75843084	0.9987635	2.4523025	0.5635125	3.1264632
11	62385000	62390000	11	63020000	63025000	0,0,0	2.8450305	0.9676402	1.8182188	0.978099	1.4458985	2.561774	0.5794904	3.4311953
11	44555000	44560000	11	44905000	44910000	0,0,0	3.355865	0.979325	2.375267	0.727425	1.4074248	3.232632	0.44294086	3.8792317
11	72480000	72485000	11	72570000	72575000	0,0,0	4.4463706	1.0	3.3573267	0.75791603	1.1838025	3.4097986	0.37060314	4.083502
11	36565000	36570000	11	36750000	36755000	0,0,0	3.247112	1.0	2.098067	0.8009046	0.877969	1.6002247	0.38690963	2.3121397
11	73965000	73970000	11	74225000	74230000	0,0,0	2.595283	0.96441543	1.8574618	0.82857406	1.0676746	2.5996788	0.5271366	3.3361888
11	94620000	94625000	11	95765000	95770000	0,0,0	3.0597262	0.98367023	1.8673332	1.2392447	1.8861812	3.013642	0.89806175	4.115193
11	100575000	100580000	11	100930000	100935000	0,0,0	3.5930774	0.9841788	2.2565396	1.1928284	1.8137766	3.0865426	0.47233933	4.1468344
11	95155000	95160000	11	95765000	95770000	0,0,0	3.622339	0.9988377	2.2862406	1.980112	2.9048061	4.9979706	0.88531005	6.75807
11	17385000	17390000	11	17505000	17510000	0,0,0	3.431321	0.9749986	2.63914	0.6822982	0.9896612	3.0827184	0.34590566	3.6892056
11	19575000	19580000	11	20135000	20140000	0,0,0	2.8213444	1.0	1.883548	0.8574166	0.901909	1.7998619	0.4395866	2.56201
11	34180000	34185000	11	34895000	34900000	0,0,0	3.6419563	1.0	2.0790672	1.2701436	1.5479747	2.1267216	0.5846108	3.2557383
11	43510000	43515000	11	43840000	43845000	0,0,0	2.4098177	0.9409063	1.771402	0.76263684	0.78969234	2.1510248	0.36590543	2.8289244
11	19560000	19565000	11	19900000	19905000	0,0,0	5.3996496	0.9959248	3.0982866	1.5007228	2.9146092	4.169422	0.8951606	5.503398
11	15345000	15350000	11	16640000	16645000	0,0,0	2.3415167	0.9888013	1.5715717	1.0617793	1.777254	3.5486174	0.7828598	4.492421
11	106105000	106110000	11	107685000	107690000	0,0,0	3.2326076	0.9948957	1.3600185	2.7521758	3.4013743	2.8318439	1.0406125	5.2782226
11	128030000	128035000	11	128830000	128835000	0,0,0	4.780498	0.9955584	2.545037	2.218227	2.8490734	3.4455347	0.922665	5.417292
11	97470000	97475000	11	98985000	98990000	0,0,0	2.1602762	0.9822036	1.3378047	2.1849189	2.4596813	4.029009	1.1504241	5.9711585
11	85855000	85860000	11	86295000	86300000	0,0,0	3.0583785	0.9964131	1.9599309	1.881241	2.2194624	3.958848	0.74085504	5.631062
11	61955000	61960000	11	62050000	62055000	0,0,0	2.0693536	0.98185617	1.589577	0.84529626	1.0299712	3.2584665	0.3930645	4.009841
11	22330000	22335000	11	22785000	22790000	0,0,0	3.4449136	0.98803353	1.933562	1.2872825	2.390451	3.2818532	0.6379259	4.426104
11	46745000	46750000	11	46795000	46800000	0,0,0	1.6889359	0.905504	1.3442323	0.47730386	0.5137713	1.9351717	0.27724275	2.359442
11	1895000	1900000	11	1940000	1945000	0,0,0	3.670933	0.99773264	1.6551487	2.7513566	3.849347	3.6441188	1.2215786	6.089769
11	131065000	131070000	11	131510000	131515000	0,0,0	2.5598445	0.9647414	1.733423	0.7945102	1.2902894	2.6391623	0.5598643	3.3453937
11	60825000	60830000	11	61180000	61185000	0,0,0	3.5839496	0.9876621	2.6050339	1.0229616	1.3644426	3.4862351	0.4793863	4.3955345
11	85945000	85950000	11	86285000	86290000	0,0,0	2.2991605	0.9461054	1.7445858	1.1138339	1.1969174	3.6634037	0.53864783	4.6534786
11	3035000	3040000	11	3085000	3090000	0,0,0	2.4657955	0.9744249	1.5431975	1.1749367	1.5560591	2.6221273	0.46282637	3.6665156
11	94970000	94975000	11	95130000	95135000	0,0,0	2.5844927	1.0	1.7826164	0.5543965	0.71104944	1.5457177	0.3086054	2.0385146
11	47930000	47935000	11	48110000	48115000	0,0,0	4.787364	0.9974162	3.230734	1.124546	2.4652755	4.9595256	0.8338109	5.959122
11	44135000	44140000	11	44280000	44285000	0,0,0	2.2622929	0.9384495	1.6045105	0.7863932	0.8735074	2.0891697	0.3640918	2.788186
11	35485000	35490000	11	36265000	36270000	0,0,0	3.1578798	0.9963665	2.172109	1.803402	1.8385634	4.0151105	0.8682686	5.618134
11	68250000	68255000	11	68375000	68380000	0,0,0	2.1523075	0.9463395	1.5016081	0.8255007	0.9691558	2.191603	0.38505584	2.9253814
11	56830000	56835000	11	57100000	57105000	0,0,0	2.826227	1.0	1.6638474	0.87973297	1.1118344	1.6326253	0.41689044	2.4146101
11	95840000	95845000	11	96425000	96430000	0,0,0	3.836909	0.9987058	2.4855273	2.1442728	2.587801	4.7445216	1.0256864	6.650542
11	126310000	126315000	11	127000000	127005000	0,0,0	3.2305305	1.0	1.7218242	1.1287324	1.5418708	1.8830806	0.5692127	2.8863983
11	47435000	47440000	11	47840000	47845000	0,0,0	2.8882477	1.0	1.5530355	1.2400599	1.3044909	1.5620468	0.46492127	2.6643221
11	100565000	100570000	11	101435000	101440000	0,0,0	2.7967637	0.9772818	1.383854	1.8097174	2.0828788	2.1763442	0.8083887	3.784982
11	5125000	5130000	11	5290000	5295000	0,0,0	2.9581907	0.9674432	2.078118	0.6581086	1.2631125	2.8401387	0.5289904	3.4251242
